cluster,Z1,Z2
13,106.83739167008956,106.204764694011
13,106.61172361430717,106.22232726407876
13,106.31898448920128,106.12678677524984
13,106.600487565234,107.28983326123576
13,106.34788615569052,107.2570752264512
13,106.1857926225288,107.27487956691073
13,109.8211538351797,107.76297881605493
13,109.69989151812024,107.1939675025766
13,109.70534993212574,106.93669476745777
13,107.77305057555604,107.02177756690644
13,107.14206015465132,106.8974432749389
13,107.74763467814012,106.82851965856896
13,107.14175375120963,106.73761889865064
13,106.89675008782108,106.73724572751438
13,107.1321343684301,106.15112774708086
13,106.88060864064887,106.1436050667652
13,106.70253030560914,106.12200198418596
13,106.96750794292292,106.24193357821542
13,106.84952529085125,106.28679964883789
13,106.74639384998518,107.77386962184757
13,106.20438530208216,107.78598831282368
13,106.22901679762684,107.47177941207372
13,107.8197860975387,107.50003381648148
13,110.37659344195048,109.98444008270808
13,110.38172112772465,108.12510187927116
13,109.9913310991264,108.12015044857046
13,110.36901365984426,107.8474154021686
13,109.9768799168864,107.85193374742148
13,108.16042624977344,107.87679697915004
13,109.97082848772364,107.346399632104
13,108.1632567508114,107.37057889192825
13,107.88391099556048,107.3754552376117
13,108.1411635079346,107.03200672962048
13,107.8399889713434,107.01224242573556
13,107.2498653014638,106.93744492414702
13,107.83341945096848,106.81927379438348
13,107.26874111801516,106.77321087498942
13,106.9805414173034,106.79629800723116
13,107.26874967087852,106.21650088055316
13,106.97009454808712,106.23086651043045
13,106.77324350797734,106.2165276830489
13,107.01290446015064,106.10111985159575
13,106.8489736439926,106.12370731380072
13,106.92416540935834,107.85814918123788
13,106.34552632097396,107.20416126594291
13,106.1306671514626,107.18507942945608
14,107.45986862210916,107.10599543522171
14,107.48391258639408,106.7921369216198
14,107.16374007871568,106.82558542810408
14,107.57667693890454,107.29116707425946
14,107.54839610452086,106.87818411332968
14,107.22308469215923,106.8361553875927
14,107.60387466241734,107.26391638609878
14,107.62787637787017,106.96841728399328
14,107.3216060430561,107.0020210404845
15,108.90168765182482,108.30475587788013
15,108.89744671615097,107.5414174612702
15,108.28201596698366,107.52667698042336
15,107.90084442316412,107.4720971692616
15,108.28670685294033,107.17898356773624
15,107.93102275400877,107.15054561295072
15,107.55508577276386,107.2029036227054
15,107.92290277869073,106.83332913166582
15,107.52020148779464,106.860099339561
15,107.09656776738991,106.78571689864472
15,107.52340048910482,106.90421510362869
15,107.1267001115914,106.86103202725732
15,106.88560311249064,106.92487615093282
15,107.12250710512208,106.89180146391516
15,106.86479310005424,106.93906319755618
15,106.7593727421602,106.79674196468558
15,106.92783376454204,106.95950835875246
15,106.76708832328757,106.5794011863491
15,106.80481375621152,106.5799436371936
15,106.81140155873462,106.15660574728211
15,106.74915350006926,106.13547594270491
15,106.59321885495852,106.16307697160886
15,108.57661674159222,107.4608066324511
15,108.13441072410444,107.43554009516282
15,108.57011767886802,106.81154859749157
15,108.12369658450638,106.78349967290956
15,107.39881225111566,106.76021961390666
15,108.1129654344991,106.21204067851346
15,107.37788311231598,106.18296653511992
15,106.6987177087535,106.14459255861294
15,107.36750697268674,105.4320866992924
15,106.68883504675304,105.39536401660854
15,106.11706726291796,105.37775385363926
15,110.64553842717964,107.98172523707969
15,109.72288457029973,108.03066699069184
15,109.73611652645148,107.2321411334825
15,109.72758272604555,106.68394837901482
15,108.01631164186972,106.67576783292792
15,107.9968657794841,105.92967645062564
15,107.24124013936353,105.95357581036232
16,107.15992295691142,106.67886420302013
16,107.1795171832162,106.41933013787818
16,106.77303172402752,106.4978731397473
16,106.72339820825096,106.5433872339038
16,106.32814803339907,106.43334697739635
16,107.2490863640697,107.04264952292996
16,107.298849293772,106.83500371362746
16,107.14569273789004,106.8964706785393
17,107.82568073960704,107.79790563968228
17,107.84216652201468,108.24823870441882
17,107.83560038446024,107.6736825850448
17,108.23288386388448,107.6577463288258
17,108.23216662960664,106.99896143409929
17,107.65568408136936,106.99788408186528
17,108.1283680136452,107.63358052794716
17,108.15375036376136,107.1410299501079
17,107.70481386594888,107.1848256642919
17,108.16216385127916,106.52135870377786
17,107.707321663321,106.55822024928662
17,107.19175501155202,106.56260053902204
17,107.72402913003408,106.62602026565496
17,107.22592867132866,106.64230375575691
17,106.6582515259595,106.68871039549065
17,107.22401270394612,106.60985077057254
17,106.63238247095158,106.63233372124712
17,106.6334499111669,106.60397111964176
17,108.79121177997692,107.92946999119356
17,108.33113980659672,107.41776847184782
17,107.95576635476309,107.46051012197071
17,107.94014171509244,107.35061223151578
17,107.42567052791388,107.33560746701043
17,107.43840439264278,107.38265402965168
17,107.37731837310228,107.41077168833742
17,107.63964850363642,105.90243969958564
17,107.37487629196308,105.84422543141108
17,107.40621397056128,105.83969779706428
17,107.37803787383632,106.47767350656144
17,107.36308375700436,106.45815656224435
17,107.41175672506316,106.47822079040084
17,107.39119631122848,106.44719722278914
17,105.86036326140436,106.48669921746756
17,105.7830064139738,106.42365516527458
17,105.70488697597403,106.52409136752334
17,106.33134158263438,106.49383643767074
18,108.20072101987506,107.50173918196352
18,107.7378470060933,107.45019398716327
18,107.7456587319362,106.64709754703192
18,107.4642481171124,106.65284953306028
18,106.59841887636196,105.4501077145402
18,108.94343770940873,108.13475410178653
18,108.94880903528704,107.78737788525189
18,108.16400750024242,107.58536943445624
18,107.75135653376246,107.5224849355198
18,108.15291080095712,107.33979820670454
18,107.75392315474468,107.28568459429113
18,107.52866857960528,107.28966523584924
18,107.73877216003366,107.08491131561752
18,107.50033997054275,107.07300546825716
18,107.2220236735216,107.0317433992616
18,107.4723486009291,106.89991799678174
18,107.19372779497245,106.85475713379512
18,106.97151591358038,106.82160062968248
18,107.19329122863566,106.61820398995964
18,106.98776596519538,106.59990008962366
18,106.85344758777254,106.61721393221391
18,107.41290840461016,107.10276353638808
18,107.4043167048453,107.0428626956405
18,107.05768999274493,107.00701727302288
18,107.43321373424637,107.02135874865876
18,107.07167178924374,105.51579978218284
18,107.0242888520216,105.52090744311612
18,106.91893750506674,105.4396054981258
18,107.03931830274658,106.36357130547502
18,106.95949161591687,106.33334595918998
18,105.57788611102596,106.3878146190422
18,106.88116486976848,106.40844871057487
18,105.34331317696795,106.3822172989683
18,105.35724221674748,106.34371889899714
18,106.40851811616514,106.36154773251415
18,106.39320308103338,108.13457366914668
18,106.34060061668649,108.13252002100894
19,108.10718211614082,107.74407928744527
19,108.09776256957838,107.26844460651708
19,108.11464360092032,106.892509116517
19,107.75969887957622,106.90116971244008
19,107.36251459043548,106.96885102380192
19,107.77684707865409,106.5026718068692
19,107.3695510981341,106.5597013782873
19,106.9862033776582,106.5700942473746
19,107.39193322920312,106.24059741868602
19,107.02315264652697,106.2650215515426
19,106.65808491070258,106.31448163919218
19,107.00365555234116,106.1516060268318
19,106.6017826685011,106.16391272170844
19,106.1812468508342,106.09372510662824
19,106.63769119106968,105.66942950704812
19,106.2791307587906,105.65480578874995
19,106.25497881998086,105.66733792196948
19,106.2060826432758,105.71046523670684
