nom;time;x;y;z;omega;phi;kappa;M11;M12;M13;M21;M22;M23;M31;M32;M33
Job_20240422_0938_Track38_Sphere_00009.jpg;122087.9576050000;253587.6594718985;42543.4425752582;385.1258241506;-159.6828925374;-93.1646124443;139.1060759008;-0.0617657721;-0.0875732675;-0.9942413752;-0.9978548109;-0.0162367078;0.0634203886;-0.0216971374;0.9960257487;-0.0863825335
Job_20240422_0938_Track38_Sphere_00010.jpg;122088.2816490000;253590.6249676073;42543.1485277060;385.1929394528;-161.1852317299;-92.9493855429;137.7134624739;-0.0617119292;-0.0916913760;-0.9938733971;-0.9978915335;-0.0143879736;0.0632888102;-0.0201028623;0.9956835229;-0.0906101382
Job_20240422_0938_Track38_Sphere_00011.jpg;122088.6013440000;253593.5969494986;42542.8418052588;385.2751750639;-159.5415163982;-92.6330064597;139.2490660103;-0.0667605357;-0.0942050333;-0.9933118557;-0.9975240587;-0.0157571983;0.0685380402;-0.0221084402;0.9954281101;-0.0929198281
Job_20240422_0938_Track38_Sphere_00012.jpg;122088.9152760000;253596.5590222845;42542.5203467691;385.3656731788;-158.9800390095;-92.3654945431;139.6215730303;-0.0697432907;-0.0972032782;-0.9928179068;-0.9972438028;-0.0184588891;0.0718614446;-0.0253114836;0.9950933585;-0.0956479831
Job_20240422_0938_Track38_Sphere_00013.jpg;122089.2216380000;253599.5074406613;42542.1935970727;385.4629582334;-156.6073883535;-92.7148169389;141.8022350390;-0.0697046564;-0.0904414448;-0.9934594133;-0.9971724023;-0.0217150338;0.0719420418;-0.0280795470;0.9956650051;-0.0886720738
Job_20240422_0938_Track38_Sphere_00014.jpg;122089.5269530000;253602.4759312795;42541.8705107812;385.5312842727;-158.1658437506;-92.4587051157;140.3815341217;-0.0700371202;-0.0951928412;-0.9929920064;-0.9972027801;-0.0193676499;0.0721907852;-0.0261039675;0.9952704241;-0.0935701114
Job_20240422_0938_Track38_Sphere_00015.jpg;122089.8248890000;253605.4279631559;42541.5447139032;385.6227356018;-156.6042434718;-92.6390784939;141.8854162233;-0.0705454409;-0.0912854256;-0.9933228639;-0.9971459896;-0.0203932129;0.0726910748;-0.0268926803;0.9956159340;-0.0895862478
Job_20240422_0938_Track38_Sphere_00016.jpg;122090.1238250000;253608.4308121778;42541.2143038856;385.6989751253;-156.6386764668;-92.5948824317;141.8787145410;-0.0709574324;-0.0918385202;-0.9932425328;-0.9971273681;-0.0199196535;0.0730768035;-0.0264963126;0.9955746550;-0.0901612545
Job_20240422_0938_Track38_Sphere_00017.jpg;122090.4081190000;253611.3441891168;42540.9146274943;385.7790793106;-151.1576120233;-92.9306186080;148.1551441586;-0.0760564433;-0.0805973742;-0.9938407723;-0.9970074869;-0.0076855571;0.0769220596;-0.0138379360;0.9967171091;-0.0797716494
Job_20240422_0938_Track38_Sphere_00018.jpg;122090.6955180000;253614.2996049406;42540.5939184492;385.8280645199;-158.4917137054;-92.2818424505;141.0880214006;-0.0727483274;-0.0966131772;-0.9926598485;-0.9972990766;-0.0030434431;0.0733845300;-0.0101110164;0.9953173521;-0.0961308270
Job_20240422_0938_Track38_Sphere_00019.jpg;122090.9769330000;253617.2619507464;42540.2585266959;385.9357613372;-157.2575091523;-92.7214874953;141.7689942136;-0.0695939209;-0.0903953454;-0.9934713724;-0.9974055259;-0.0120729590;0.0709680244;-0.0184093182;0.9958327797;-0.0893206124
Job_20240422_0938_Track38_Sphere_00020.jpg;122091.2588660000;253620.2468657053;42539.9338719016;386.0074286712;-158.4959907483;-92.7169474083;140.2944310129;-0.0675235778;-0.0920400405;-0.9934632340;-0.9974734945;-0.0158010670;0.0692600466;-0.0220724766;0.9956299299;-0.0907405562
Job_20240422_0938_Track38_Sphere_00021.jpg;122091.5378930000;253623.2137234144;42539.6120132040;386.0886276411;-158.8026627336;-92.6363937700;139.7800770951;-0.0675130603;-0.0936020409;-0.9933179977;-0.9973955545;-0.0189931029;0.0695799528;-0.0253790165;0.9954285107;-0.0920759770
Job_20240422_0938_Track38_Sphere_00022.jpg;122091.8168980000;253626.1985622811;42539.2901639966;386.1760707311;-157.9055455559;-92.7308287947;140.6461773833;-0.0679019842;-0.0914916025;-0.9934881012;-0.9973580800;-0.0195364321;0.0699656211;-0.0258104796;0.9956141896;-0.0899233264
Job_20240422_0938_Track38_Sphere_00023.jpg;122092.0976370000;253629.2100823257;42538.9659766508;386.2612719331;-157.4312606526;-92.7531707289;141.1244045875;-0.0683774528;-0.0907005330;-0.9935280254;-0.9973273495;-0.0194817933;0.0704174528;-0.0257426082;0.9956876383;-0.0891260068
Job_20240422_0938_Track38_Sphere_00024.jpg;122092.3705810000;253632.1486880361;42538.6469672536;386.3399749314;-157.0364136108;-92.8128430031;141.3808664668;-0.0681786586;-0.0896829414;-0.9936340577;-0.9972838664;-0.0216924107;0.0703869950;-0.0278668308;0.9957341057;-0.0879603911
Job_20240422_0938_Track38_Sphere_00025.jpg;122092.6458060000;253635.1130333156;42538.3307758523;386.4195501963;-158.3734809997;-92.6658602547;140.2718665993;-0.0679622788;-0.0927069033;-0.9933713096;-0.9973897712;-0.0180254395;0.0699194387;-0.0243879691;0.9955302675;-0.0912398671
Job_20240422_0938_Track38_Sphere_00026.jpg;122092.9219780000;253638.0936779180;42538.0158346053;386.5126475012;-158.4333868701;-92.6929195125;140.4214554315;-0.0679294860;-0.0922070064;-0.9934200788;-0.9974672521;-0.0147687918;0.0695770352;-0.0210871044;0.9956303284;-0.0909702328
Job_20240422_0938_Track38_Sphere_00027.jpg;122093.1978890000;253641.0685746707;42537.6973926472;386.6023532525;-158.0297254915;-92.7409379079;140.7671321294;-0.0679814305;-0.0912359222;-0.9935061810;-0.9974447739;-0.0157081619;0.0696934479;-0.0219647019;0.9957054083;-0.0899349304
Job_20240422_0938_Track38_Sphere_00028.jpg;122093.4759020000;253644.0568171285;42537.3735851478;386.6883338802;-157.5653590841;-92.7757976078;141.0731269888;-0.0680920243;-0.0904734312;-0.9935683341;-0.9973800221;-0.0182076849;0.0700112253;-0.0244247350;0.9957324131;-0.0889965947
Job_20240422_0938_Track38_Sphere_00029.jpg;122093.7561680000;253647.0488080234;42537.0498354472;386.7766758064;-157.9689207794;-92.6918080078;140.5806185401;-0.0681701253;-0.0920508244;-0.9934180790;-0.9973380956;-0.0195378733;0.0702495170;-0.0258758025;0.9955626134;-0.0904738947
Job_20240422_0938_Track38_Sphere_00030.jpg;122094.0421890000;253650.0639961085;42536.7203408591;386.8723612912;-158.1078104737;-92.5625115596;140.3440939993;-0.0690222468;-0.0939291227;-0.9931833916;-0.9972357817;-0.0209556784;0.0712857297;-0.0275086378;0.9953583171;-0.0922230741
Job_20240422_0938_Track38_Sphere_00031.jpg;122094.3251880000;253653.0170244804;42536.4030395746;386.9672578759;-156.6459110326;-92.7531863575;141.9198101684;-0.0695051679;-0.0898389613;-0.9935280533;-0.9972529455;-0.0193050096;0.0715113933;-0.0256045779;0.9957691889;-0.0882503709
Job_20240422_0938_Track38_Sphere_00032.jpg;122094.6164220000;253656.0163806496;42536.0884095123;387.0551153226;-157.5895494380;-92.5342599052;141.4094147226;-0.0708512114;-0.0931117494;-0.9931315663;-0.9973060480;-0.0123456933;0.0723065031;-0.0189934827;0.9955791209;-0.0919862035
Job_20240422_0938_Track38_Sphere_00033.jpg;122094.9072480000;253658.9863018855;42535.7576847142;387.1530121639;-157.1049728509;-92.4847183733;141.7190588151;-0.0717742207;-0.0933787666;-0.9930402143;-0.9971829588;-0.0150279832;0.0734867765;-0.0217854963;0.9955172352;-0.0920370930
Job_20240422_0938_Track38_Sphere_00034.jpg;122095.2019920000;253661.9702641156;42535.4238101458;387.2526198272;-157.9409542940;-92.4984440805;140.7153167095;-0.0701652955;-0.0943269695;-0.9930655840;-0.9972375650;-0.0176914432;0.0721405009;-0.0243735582;0.9953840644;-0.0928250720
Job_20240422_0938_Track38_Sphere_00035.jpg;122095.4987960000;253664.9526672108;42535.1013439968;387.3527138568;-158.1358657708;-92.6176592782;140.5729555989;-0.0688474978;-0.0929888887;-0.9932839919;-0.9973517097;-0.0169812681;0.0707191895;-0.0234433206;0.9955223268;-0.0915735093
Job_20240422_0938_Track38_Sphere_00036.jpg;122095.7978570000;253667.9341798125;42534.7840301525;387.4504323844;-158.9429069773;-92.5973943737;139.8947283500;-0.0680383667;-0.0939731686;-0.9932471114;-0.9974526916;-0.0149692925;0.0697427288;-0.0214221518;0.9954621861;-0.0927153037
Job_20240422_0938_Track38_Sphere_00037.jpg;122096.1035310000;253670.9679843629;42534.4663326591;387.5515526999;-157.6709677218;-92.7141804058;141.5028992330;-0.0692846624;-0.0907760881;-0.9934582716;-0.9974670047;-0.0097681134;0.0704567850;-0.0161000044;0.9958234210;-0.0898693723
Job_20240422_0938_Track38_Sphere_00038.jpg;122096.4010610000;253673.8996682456;42534.1560284495;387.6421293272;-158.3354501748;-92.4742563010;140.9162183293;-0.0706887583;-0.0944070926;-0.9930208459;-0.9973845282;-0.0083537140;0.0717935822;-0.0150732355;0.9954986270;-0.0935696599
Job_20240422_0938_Track38_Sphere_00039.jpg;122096.7029100000;253676.8733995864;42533.8306700373;387.7463298189;-156.5922508947;-92.3849241181;142.7682275551;-0.0742720818;-0.0934015607;-0.9928543732;-0.9971466543;-0.0065206121;0.0752065915;-0.0134984313;0.9956071665;-0.0926507544
Job_20240422_0938_Track38_Sphere_00040.jpg;122097.0086100000;253679.8734653124;42533.4903722107;387.8425371004;-156.2641513526;-92.0211901132;143.1438969700;-0.0783775154;-0.0973792305;-0.9921563640;-0.9968376698;-0.0054229307;0.0792795808;-0.0131005798;0.9952325745;-0.0966462493
Job_20240422_0938_Track38_Sphere_00041.jpg;122097.3078090000;253682.8133356090;42533.1377375629;387.9492845433;-154.5641204893;-91.9495534317;144.6075965562;-0.0813152932;-0.0964049568;-0.9920150742;-0.9965451035;-0.0090145935;0.0825626655;-0.0169020628;0.9953013722;-0.0953388634
Job_20240422_0938_Track38_Sphere_00042.jpg;122097.6127580000;253685.7945541767;42532.7758172089;388.0472144308;-156.9521576873;-91.5152005165;142.1907731641;-0.0817602457;-0.1047549676;-0.9911315044;-0.9964945181;-0.0090871296;0.0831630901;-0.0177182872;0.9944565455;-0.1036447851
Job_20240422_0938_Track38_Sphere_00043.jpg;122097.9166970000;253688.7804931737;42532.4124339214;388.1711111031;-154.3595891963;-91.8662899057;144.6517757196;-0.0822193271;-0.0973396093;-0.9918492742;-0.9964235955;-0.0114374618;0.0837209824;-0.0194936059;0.9951855028;-0.0960511030
Job_20240422_0938_Track38_Sphere_00044.jpg;122098.2201230000;253691.7476787451;42532.0463795243;388.2707755994;-154.5302570698;-91.7634464878;144.3928150970;-0.0828515268;-0.0989013851;-0.9916421434;-0.9963412295;-0.0127187895;0.0845126425;-0.0209709050;0.9950159539;-0.0974857565
Job_20240422_0938_Track38_Sphere_00045.jpg;122098.5249330000;253694.7246876625;42531.6679056054;388.3722422048;-154.8950008112;-91.6392720546;143.6111672392;-0.0828546315;-0.1014088215;-0.9913886024;-0.9961793731;-0.0191236385;0.0852111678;-0.0276001213;0.9946610163;-0.0994368942
Job_20240422_0938_Track38_Sphere_00046.jpg;122098.8288100000;253697.6999832965;42531.2884656889;388.4826644342;-154.8352983975;-91.7485189108;143.1988998946;-0.0811282185;-0.1006187071;-0.9916118636;-0.9960935681;-0.0266201461;0.0841960291;-0.0348685482;0.9945688732;-0.0980660020
Job_20240422_0938_Track38_Sphere_00047.jpg;122099.1360560000;253700.7022764221;42530.9253020165;388.5904420037;-157.1188900316;-91.4725048138;141.1449682664;-0.0804287324;-0.1066145145;-0.9910421607;-0.9962629931;-0.0228070772;0.0833059766;-0.0314844013;0.9940388234;-0.1043817511
Job_20240422_0938_Track38_Sphere_00048.jpg;122099.4357320000;253703.6410936313;42530.5848482158;388.7192619499;-159.0472534961;-91.2988024986;139.7398453621;-0.0796363444;-0.1105573026;-0.9906740814;-0.9965490021;-0.0145120684;0.0817281245;-0.0234123710;0.9937637962;-0.1090200815
Job_20240422_0938_Track38_Sphere_00049.jpg;122099.7372670000;253706.6179658803;42530.2336542141;388.8567056907;-159.5518691375;-91.4455126678;139.1694968882;-0.0773247492;-0.1094016699;-0.9909854478;-0.9967104881;-0.0157146325;0.0795063094;-0.0242710951;0.9938733948;-0.1078266618
Job_20240422_0938_Track38_Sphere_00050.jpg;122100.0391960000;253709.6050870907;42529.8812073348;388.9907662617;-163.3979840342;-91.2791513892;135.1857850365;-0.0716912338;-0.1162267421;-0.9906319758;-0.9970781837;-0.0179085264;0.0742588738;-0.0263716259;0.9930612414;-0.1146032646
Job_20240422_0938_Track38_Sphere_00051.jpg;122100.3338540000;253712.5538468202;42529.5615975494;389.1451486265;-164.0961288706;-91.6915778520;134.7724246682;-0.0675999451;-0.1112034409;-0.9914958609;-0.9974807150;-0.0138873023;0.0695655525;-0.0215051316;0.9937006277;-0.1099845069
